order_id,user_id,timestamp,product_id,quantity,total,payment_success
O0000001,U000002,2024-02-29T07:51:56,P00004,1,26.15,True
O0000002,U000006,2024-02-20T07:36:22,P00005,1,18.14,True
O0000003,U000008,2024-02-21T00:37:49,P00027,1,29.21,True
O0000004,U000012,2024-01-27T23:13:17,P00007,1,5.55,True
O0000005,U000017,2024-02-19T06:36:10,P00098,2,26.26,True
O0000006,U000021,2024-02-15T11:26:14,P00059,2,10.54,True
O0000007,U000023,2024-02-27T11:20:44,P00012,1,11.3,True
O0000008,U000029,2024-02-23T20:43:49,P00077,1,58.9,True
O0000009,U000031,2024-02-22T07:57:45,P00039,2,72.48,True
O0000010,U000033,2024-01-20T12:54:04,P00083,1,22.52,True
O0000011,U000034,2024-02-17T02:06:50,P00006,1,30.24,True
O0000012,U000036,2024-02-29T09:50:57,P00095,1,11.0,True
O0000013,U000039,2024-01-10T14:11:52,P00020,1,78.55,True
O0000014,U000046,2024-02-01T09:46:06,P00085,2,61.48,True
O0000015,U000049,2024-02-27T19:38:22,P00070,1,14.98,True
O0000016,U000052,2024-01-09T01:06:24,P00038,1,5.26,True
O0000017,U000054,2024-01-25T06:33:09,P00052,1,79.67,True
O0000018,U000057,2024-02-02T19:37:03,P00070,1,14.98,True
O0000019,U000060,2024-01-19T03:35:51,P00037,2,94.12,True
O0000020,U000069,2024-01-19T02:49:55,P00055,1,5.19,True
O0000021,U000070,2024-01-14T14:30:02,P00081,1,10.21,True
O0000022,U000072,2024-02-12T23:22:25,P00080,1,4.81,True
O0000023,U000073,2024-01-31T15:51:16,P00037,1,47.06,True
O0000024,U000079,2024-01-27T08:58:09,P00027,1,29.21,True
O0000025,U000085,2024-01-12T01:48:48,P00092,1,17.41,True
O0000026,U000086,2024-01-31T17:05:40,P00066,1,18.27,True
O0000027,U000089,2024-02-18T07:15:39,P00012,1,11.3,True
O0000028,U000091,2024-02-04T10:44:49,P00063,1,16.8,True
O0000029,U000093,2024-01-18T23:01:34,P00053,2,42.36,True
O0000030,U000095,2024-01-09T00:03:57,P00076,1,8.33,True
O0000031,U000097,2024-02-29T23:46:50,P00010,1,121.54,True
O0000032,U000097,2024-02-03T08:43:36,P00071,1,25.81,True
O0000033,U000098,2024-01-19T21:49:14,P00044,1,9.34,True
O0000034,U000098,2024-01-26T10:55:28,P00012,1,11.3,True
O0000035,U000098,2024-01-01T07:42:40,P00100,1,40.37,True
O0000036,U000100,2024-02-11T10:14:15,P00009,1,17.26,True
O0000037,U000105,2024-01-01T21:18:32,P00093,1,57.16,True
O0000038,U000106,2024-02-16T16:39:31,P00053,1,21.18,True
O0000039,U000109,2024-01-29T18:36:29,P00009,1,17.26,True
O0000040,U000110,2024-01-04T12:01:04,P00034,1,38.2,True
O0000041,U000110,2024-01-16T20:22:26,P00064,1,30.5,True
O0000042,U000113,2024-01-27T14:36:58,P00069,1,2.77,True
O0000043,U000113,2024-01-26T15:27:17,P00050,1,15.04,True
O0000044,U000113,2024-02-11T00:23:06,P00049,1,12.1,True
O0000045,U000115,2024-01-31T19:23:59,P00097,1,30.1,True
O0000046,U000120,2024-02-12T21:47:30,P00021,2,376.02,True
O0000047,U000120,2024-01-04T10:13:19,P00077,1,58.9,True
O0000048,U000126,2024-01-17T11:06:06,P00048,2,29.14,True
O0000049,U000127,2024-01-14T00:34:42,P00086,1,14.43,True
O0000050,U000133,2024-01-05T10:52:46,P00071,1,25.81,True
O0000051,U000138,2024-02-28T12:10:20,P00090,1,20.57,True
O0000052,U000141,2024-02-09T05:48:12,P00003,1,6.78,True
O0000053,U000142,2024-01-04T23:11:32,P00022,1,23.5,True
O0000054,U000145,2024-02-21T05:56:31,P00087,1,28.34,True
O0000055,U000148,2024-02-18T04:58:05,P00074,1,27.55,True
O0000056,U000149,2024-01-16T16:20:26,P00002,2,55.16,True
O0000057,U000152,2024-02-26T08:32:19,P00082,1,21.82,False
O0000058,U000153,2024-02-06T12:22:08,P00009,1,17.26,True
O0000059,U000153,2024-02-28T04:00:43,P00016,1,17.22,True
O0000060,U000154,2024-01-24T21:41:44,P00015,1,24.08,True
O0000061,U000155,2024-02-24T09:14:18,P00095,1,11.0,True
O0000062,U000163,2024-01-30T18:11:19,P00070,1,14.98,True
O0000063,U000167,2024-01-29T18:53:14,P00070,1,14.98,True
O0000064,U000170,2024-01-22T05:08:34,P00049,1,12.1,True
O0000065,U000170,2024-01-20T22:53:59,P00081,3,30.63,True
O0000066,U000171,2024-01-02T20:53:38,P00092,1,17.41,True
O0000067,U000178,2024-02-05T19:27:36,P00064,1,30.5,True
O0000068,U000179,2024-01-26T03:17:33,P00018,1,29.12,True
O0000069,U000179,2024-01-29T00:40:18,P00069,1,2.77,True
