product_id,category,price,title
P00001,Home,22.08,Throw beautiful increase.
P00002,Home,27.58,Full push be.
P00003,Books,6.78,Human worker prevent picture.
P00004,Sports,26.15,Throw a.
P00005,Home,18.14,Chance camera draw.
P00006,Home,30.24,Grow beautiful hair.
P00007,Electronics,5.55,Painting door professor.
P00008,Electronics,7.79,Little soldier.
P00009,Sports,17.26,Morning send less.
P00010,Beauty,121.54,Number.
P00011,Sports,13.95,Discussion child growth cut.
P00012,Beauty,11.3,Woman standard require peace.
P00013,Beauty,8.43,Which past.
P00014,Toys,31.05,Pm art public.
P00015,Electronics,24.08,War director dog.
P00016,Home,17.22,Her relate create.
P00017,Toys,22.86,Attack project.
P00018,Beauty,29.12,Fact need.
P00019,Sports,10.02,Ever case view.
P00020,Electronics,78.55,Item author.
P00021,Books,188.01,Budget partner whether.
P00022,Clothing,23.5,One turn probably.
P00023,Sports,19.72,Type law fast growth.
P00024,Home,12.4,Talk several.
P00025,Books,10.66,Take check pull.
P00026,Clothing,55.84,Its activity suggest.
P00027,Sports,29.21,Sea short.
P00028,Electronics,16.14,Standard us professor.
P00029,Sports,64.1,People policy.
P00030,Clothing,69.06,Behavior lose.
P00031,Beauty,37.68,Performance wear.
P00032,Toys,16.63,Family realize plan.
P00033,Sports,19.65,Provide during.
P00034,Beauty,38.2,Sort fear role.
P00035,Home,7.56,Good until.
P00036,Electronics,18.59,Race society hear.
P00037,Toys,47.06,Take computer drug.
P00038,Beauty,5.26,Test east.
P00039,Home,36.24,Red life treatment.
P00040,Books,14.23,Want school rather.
P00041,Clothing,58.03,Interesting beautiful.
P00042,Toys,31.74,View country not.
P00043,Clothing,17.92,Beautiful yeah.
P00044,Clothing,9.34,Similar scientist from it.
P00045,Books,38.73,Officer particularly up.
P00046,Beauty,9.52,Between record customer.
P00047,Clothing,11.82,Paper yourself.
P00048,Sports,14.57,Expert add.
P00049,Electronics,12.1,Area alone.
P00050,Toys,15.04,Worry box.
P00051,Clothing,38.54,Open stock.
P00052,Books,79.67,Through.
P00053,Home,21.18,Response member.
P00054,Home,36.83,Husband late long.
P00055,Clothing,5.19,Spend two.
P00056,Beauty,352.92,Trade there grow.
P00057,Clothing,8.14,More teacher light.
P00058,Clothing,34.88,Seat old scene.
P00059,Sports,5.27,Physical production through.
P00060,Clothing,40.13,Difficult light year church.
P00061,Home,67.65,Success hundred whom.
P00062,Clothing,10.85,Time experience.
P00063,Clothing,16.8,Kitchen south.
P00064,Sports,30.5,Experience.
P00065,Toys,10.82,Author sign.
P00066,Toys,18.27,Research style.
P00067,Books,12.83,Certainly role.
P00068,Books,31.76,Way measure citizen.
P00069,Electronics,2.77,Go whose.
P00070,Toys,14.98,Total writer politics.
P00071,Sports,25.81,Ago reduce stage.
P00072,Home,97.72,Artist talk believe.
P00073,Clothing,39.95,Place participant.
P00074,Clothing,27.55,Figure bag interview.
P00075,Clothing,6.88,Affect message example sister.
P00076,Beauty,8.33,Minute board.
P00077,Clothing,58.9,These project.
P00078,Home,16.52,Decision rather knowledge lot.
P00079,Home,48.59,Capital lead.
P00080,Sports,4.81,Hundred than.
P00081,Electronics,10.21,Voice else.
P00082,Clothing,21.82,Clear plan.
P00083,Toys,22.52,Threat himself.
P00084,Electronics,36.19,Could bit.
P00085,Beauty,30.74,Turn remember anything.
P00086,Books,14.43,Firm international newspaper.
P00087,Books,28.34,Little loss.
P00088,Beauty,44.14,Player but consumer.
P00089,Clothing,14.95,Star also exist.
P00090,Books,20.57,Bar activity.
P00091,Sports,6.44,Chance may.
P00092,Toys,17.41,Despite bank.
P00093,Electronics,57.16,Role successful.
P00094,Home,31.24,Scientist behavior fight control.
P00095,Beauty,11.0,Audience human environmental once.
P00096,Clothing,26.15,Of station.
P00097,Toys,30.1,Beautiful share.
P00098,Beauty,13.13,Ground.
P00099,Electronics,4.05,Save agency.
P00100,Toys,40.37,Themselves force miss.
