user_id,signup_date,channel,device,country
U000001,2024-01-24,social,desktop,MY
U000002,2024-02-11,paid_search,desktop,MZ
U000003,2024-01-31,organic,mobile,IT
U000004,2024-01-23,social,mobile,SI
U000005,2024-02-09,organic,desktop,ZM
U000006,2024-01-23,paid_search,desktop,CV
U000007,2024-02-08,paid_search,desktop,CR
U000008,2024-02-01,social,desktop,MZ
U000009,2024-01-11,paid_search,desktop,MV
U000010,2024-01-26,organic,mobile,HR
U000011,2024-01-22,paid_search,mobile,MD
U000012,2024-01-05,paid_search,mobile,BS
U000013,2024-01-07,organic,desktop,BS
U000014,2024-02-03,email,mobile,QA
U000015,2024-02-04,email,mobile,KZ
U000016,2024-02-11,paid_search,mobile,HN
U000017,2024-01-30,referral,desktop,TM
U000018,2024-01-25,organic,mobile,TT
U000019,2024-01-05,organic,mobile,MR
U000020,2024-01-07,paid_search,desktop,GE
U000021,2024-01-04,organic,desktop,GM
U000022,2024-01-01,email,tablet,AL
U000023,2024-02-29,organic,mobile,GT
U000024,2024-01-11,organic,desktop,NE
U000025,2024-01-15,organic,mobile,HT
U000026,2024-02-02,email,mobile,KH
U000027,2024-01-20,organic,mobile,ER
U000028,2024-02-14,email,desktop,RU
U000029,2024-02-03,email,mobile,SB
U000030,2024-02-15,paid_search,mobile,TZ
U000031,2024-02-03,paid_search,mobile,SB
U000032,2024-02-08,organic,desktop,KH
U000033,2024-02-29,paid_search,desktop,ML
U000034,2024-01-06,email,desktop,CR
U000035,2024-02-08,paid_search,mobile,BI
U000036,2024-01-23,referral,desktop,EG
U000037,2024-02-07,paid_search,desktop,DZ
U000038,2024-01-03,email,desktop,IE
U000039,2024-02-07,organic,desktop,US
U000040,2024-01-18,organic,tablet,TJ
U000041,2024-02-16,social,mobile,KG
U000042,2024-01-15,email,mobile,CN
U000043,2024-02-05,organic,mobile,IT
U000044,2024-01-17,social,mobile,GT
U000045,2024-01-25,social,desktop,EC
U000046,2024-02-18,organic,desktop,SV
